,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seminar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tutorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Practical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Break out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lecture (o),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seminar  (o),,,,,,,,,,IT,,,,,,,,,,,,,,,,,,,,,
,,,Tutorial  (o),,,,,,,,,,Specialist,,,,,,,,,,,,,,,,,,,,,
,,,Workshop  (o),Term 1,,,,,,,,,Flat,,,,,,,,,,,,,,,,,,,,,
,,,Practical  (o),Term 2,,,,,,,,,Tiered,,,,,,,,,,,,,,,,,,,,,
,,,Combined  (o),Term 1 & 2,,,,,,,,,Harvard,,,,,,,,,,,,,,,,,,,,,
Programme,Module Code,Module Name,Category,Term,Day,Start,End,Hours,Group,Group size,Staff,Module Leader,Room type,Number of students ,,,Contact hour per week,Contact time per year,Student number ,Computing,Dori,Mufy,Mufy,AS comments,Mufy,AS comments,Mufy,,AS comments 19/09/2016,Comments ,as comment,Mufy,AS comments,
CS,CN5120,Advanced Programming ,Lecture,1,Tuesday,13:00,15:00,02:00,0,50,Syed Islam,ML,WB.3.02,47 + 50 (CN6104),,,10,5,,,,,,,,,,,,,,CN5120: Cancel group 1 (Tue 3-5) Syed,Cancelled ,
CS,CN5120,Advanced Programming ,Practicals,1,Thurday,15:00,17:00,02:00,1,25,Paolo Falcarin,,KD.2.14,,,,,,,Swap tutorials,,,,,,,,,,This slot does not appear in Celcat ,added  Thu 15-17 Group 1 KD2.14,"Timetable clash, Thur 3-5, Change room (any ITC  1-5)",Requested ITC,Update Tutor
CS,CN5120,Advanced Programming ,Practicals,1,Friday,11:00,13:00,02:00,2,25,Syed Islam,,KD.2.28,,,,,,,,,Please update the room & slot,"Please update the room & slot (Fri 11-1, KD.2.28)",Do you want group 2 to be moved from Tue 15.00 - 17.00 to Fri 11-1 in KD2.28 or a new group 3 to be booked,Please move group 2  from Tue 15.00 - 17.00 to Fri 11-1 in KD2.28,moved as requested,,,,Remove Syed Islam and add Paolo Falcarin in the slot ,amended,,,Update Tutor
CS,CN5120,Advanced Programming ,Practicals,1,Friday,11:00,13:00,02:00,3,25,Paolo Falcarin,,ITC1-ITC5,,,,,,,change,,Please update the room & slot,"Please update the room & slot (Fri 11-1, KD.2.28)",Do you want group 2 to be moved from Tue 15.00 - 17.00 to Fri 11-1 in KD2.28 or a new group 3 to be booked,,,Please book the following slot (Fri 11-1) - any ITC 1-5,," ITC02 for all Term 1 and 2, except for weeks 18-20 in ITC08.",Add this slot and remove the slot on Tuesday between 1500 - 1700.,Request ITC from TT term 1 only,Add this group (Fri 11-1),Group 3 added,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C4B, CN retakes only",CN5108,System Administration,Lecture,1,Tuesday,13:00,15:00,02:00,0,75,Mike Kretsis,ML,,77,,,8,4,,Release rooms,,,,,,,,,,,,,,
"C4B, CN retakes only",CN5108,System Administration,Practicals,1,Friday,13:00,15:00,02:00,1,25,Mike Kretsis,,,,,,,,,Release rooms,,,,,,,,,,,,,,Cancel Room 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancel Room 
"CS, C4B",CN5104,Computing in Practice,Lecture,2,Friday,13:00,15:00,02:00,0,125,Mike Kretsis,ML,NB.2.05,124,,,12,6,,Module to be revalidated. 5 weeks teaching only,,,,,,,,,,Remove Mufajjul Ali from the staff list,removed,,,
"CS, C4B",CN5104,Computing in Practice,Practicals,2,Friday,15:00,17:00,02:00,1,25,Mike Kretsis,,EBG.08 ,,,,,,,,EB.G.08 is booked as a practial for all students ,,"EG.G.08 is booked for group 1 practical - is this correct, is so do you want me to request a flat room",,,,,,,,,,,
